Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin
5446,16,7609,1818,136.81,0.01,23,-30.51,3.6,0.56
5406,13,7549,1818,42.27,0.01,13,4.56,0.93,0.54
5446,4,7610,1818,4701.69,0,26,1148.9,2.5,0.59
5456,6,7625,1818,2337.89,0.09,43,729.34,14.3,0.37
5485,17,7664,1818,4233.15,0.08,35,1219.87,26.3,0.38
5446,6,7608,1818,164.02,0.03,23,-47.64,6.15,0.37
31,12,41,26,14.76,0.01,5,1.32,0.5,0.36
4725,4,6593,1641,3410.1575,0.1,48,1137.91,0.99,0.55
4725,13,6593,1641,162,0.01,33,45.84,0.71,0.52
4725,6,6593,1641,57.22,0.07,8,-27.72,6.6,0.37
4743,2,6615,1641,4072.01,0.01,43,1675.98,0.99,0.56
1925,6,2637,708,465.9,0.05,38,79.34,4.86,0.38
2978,16,4112,1088,305.05,0.04,27,23.12,3.37,0.57
2207,11,3093,839,3364.248,0.1,15,-693.23,61.76,0.78
2207,10,3006,839,1410.93,0.08,10,-317.48,36.09,0.77
2280,5,3114,839,460.69,0.06,48,-103.48,7.29,0.45
2282,9,3122,839,443.46,0.06,30,193.12,1.39,0.38
4471,15,6228,1521,13255.93,0.02,25,4089.27,26,0.6
4427,6,6171,1521,283.13,0.08,45,-141.26,6.81,0.36
996,13,1378,371,41.97,0.05,12,-37.03,4.2,0.56
996,13,1378,371,57.17,0.08,18,-24.03,2.31,0.56
996,6,1378,371,81.25,0.01,11,-44.54,7.86,0.37
996,5,1377,371,3202.25,0.09,44,991.26,19.99,0.43
996,7,1378,371,35.64,0.05,10,-0.71,1.63,0.36
2573,3,3525,931,197.61,0.08,13,3.46,7.27,0.38
2335,13,3204,931,38.26,0.03,22,-2.34,0.7,0.56
2456,5,3367,931,109.58,0,13,31.32,4,0.42
2405,9,3300,931,1062.69,0.01,28,401.8,6.66,0.4
2573,4,3527,931,3594.7435,0.05,38,1016.97,2.5,0.55
2478,12,3395,931,139.98,0.07,33,-140.54,6.89,0.39
2334,9,3203,931,129.1,0,27,-59.82,4.99,0.38
2573,7,3526,931,68.92,0.04,22,2.63,1.58,0.39
2343,6,3215,931,76.16,0.04,12,-24.03,5.2,0.36
5046,17,7042,1710,630.99,0.07,49,-114.64,9.44,0.39
5040,3,7033,1710,193.84,0.07,23,-117.1,8.94,0.4
5033,2,7022,1710,139,0.05,16,-96.33,9.23,0.58
5029,13,7016,1710,54.79,0.05,9,-6.82,2.27,0.56
5040,2,7032,1710,1637.78,0.08,38,461.65,4.62,0.56
5035,12,7025,1710,416.8,0.01,32,223.38,0.5,0.38
5045,5,7040,1710,1286.87,0.05,48,384.38,6.93,0.49
5035,15,7024,1710,4917.69,0.02,42,126.31,30,0.71
5046,7,7041,1710,202.11,0.08,40,-17.49,3.39,0.37
1184,11,1635,452,73.44,0,3,-53.78,27.75,0.76
1189,6,1641,452,49.61,0,1,-41.82,17.08,0.4
1184,1,1634,452,1974.66,0.06,32,-929.68,35,0.8
4768,12,6650,1579,3.85,0.08,1,-1.36,0.99,0.37
4690,2,6545,1579,904.12,0.07,4,28.81,11.79,0.42
4659,6,6493,1579,1451.59,0.06,26,435.11,14.3,0.37
4622,12,6437,1579,56.26,0,14,28.11,0.5,0.38
4657,5,6490,1579,336.86,0.06,23,36.32,5.3,0.46
4682,5,6531,1579,63.91,0.04,14,-44.47,6.6,0.49
4768,4,6651,1579,547.0005,0.08,10,-97.2,3.9,0.55
4755,13,6628,1579,3.41,0.06,1,-1.78,0.7,0.56
4659,6,6492,1579,391.9,0.1,11,-47.01,19.99,0.38
4682,4,6531,1579,1909.0065,0.01,32,344.13,8.99,0.59
4657,5,6489,1579,418.03,0,47,-158.58,7.96,0.49
4410,5,6146,1474,605.77,0.05,42,129.33,5,0.49
4546,1,6327,1474,5208.78,0.05,34,1547.78,7.07,0.59
